,LID,blue,green,nir,obs_mgL,red,station,total,rb,rg,rn,gn,sp1,sp2,month
0,5,0.0705,0.1035,0.0595,2.941176471,0.0875,3,0.2615,1.241134752,0.845410628,1.470588235,1.739495798,0.0955,0.904910628,1
1,5,0.061,0.088,0.036,1.008064516,0.069,3,0.218,1.131147541,0.784090909,1.916666667,2.444444444,0.0785,0.820090909,3
2,5,0.101,0.143,0.134,15.95744681,0.15,3,0.394,1.485148515,1.048951049,1.119402985,1.067164179,0.1465,1.182951049,5
3,5,0.095,0.127,0.119,81.37992472,0.116,3,0.338,1.221052632,0.913385827,0.974789916,1.067226891,0.1215,1.032385827,7
4,5,0.099,0.138,0.106,61.20299145,0.143,3,0.38,1.444444444,1.036231884,1.349056604,1.301886792,0.1405,1.142231884,10
5,5,0.079,0.111,0.083,14.03225806,0.108,3,0.298,1.367088608,0.972972973,1.301204819,1.337349398,0.1095,1.055972973,11
6,5,0.078,0.111,0.076,10,0.106,3,0.295,1.358974359,0.954954955,1.394736842,1.460526316,0.1085,1.030954955,12
7,5,0.092,0.129,0.117,12.99978261,0.1325,3,0.3535,1.440217391,1.027131783,1.132478632,1.102564103,0.13075,1.144131783,10
8,5,0.08,0.113,0.061,16.63747811,0.106,3,0.299,1.325,0.938053097,1.737704918,1.852459016,0.1095,0.999053097,3
9,5,0.085,0.119,0.086,3.3126294,0.107,3,0.311,1.258823529,0.899159664,1.244186047,1.38372093,0.113,0.985159664,3
10,5,0.072,0.1045,0.051,12.58320611,0.0865,3,0.263,1.201388889,0.827751196,1.696078431,2.049019608,0.0955,0.878751196,1
11,5,0.101,0.147,0.147,30.04807692,0.16,3,0.408,1.584158416,1.088435374,1.088435374,1,0.1535,1.235435374,5
12,5,0.073,0.12,0.127,513.762253,0.136,3,0.329,1.863013699,1.133333333,1.070866142,0.94488189,0.128,1.260333333,9
13,5,0.0765,0.103,0.0615,23.97705545,0.093,3,0.2725,1.215686275,0.902912621,1.512195122,1.674796748,0.098,0.964412621,1
14,5,0.086,0.106,0.069,23.0190678,0.096,3,0.288,1.11627907,0.905660377,1.391304348,1.536231884,0.101,0.974660377,2
15,5,0.095,0.132,0.117,436.8751975,0.143,3,0.37,1.505263158,1.083333333,1.222222222,1.128205128,0.1375,1.200333333,10
16,5,0.0515,0.088,0.068,386.4419048,0.0935,3,0.233,1.815533981,1.0625,1.375,1.294117647,0.09075,1.1305,10
17,5,0.078,0.119,0.077,207.0230216,0.123,3,0.32,1.576923077,1.033613445,1.597402597,1.545454545,0.121,1.110613445,11
18,5,0.074,0.1,0.056,48.80922099,0.086,3,0.26,1.162162162,0.86,1.535714286,1.785714286,0.093,0.916,2
19,5,0.079,0.113,0.069,15.99174917,0.0955,3,0.2875,1.208860759,0.845132743,1.384057971,1.637681159,0.10425,0.914132743,3
20,5,0.0775,0.1175,0.065,4.254014599,0.116,3,0.311,1.496774194,0.987234043,1.784615385,1.807692308,0.11675,1.052234043,4
21,5,0.087,0.1245,0.085,13.0341394,0.1235,3,0.335,1.41954023,0.991967871,1.452941176,1.464705882,0.124,1.076967871,4
22,5,0.079,0.12,0.091,385.732093,0.124,3,0.323,1.569620253,1.033333333,1.362637363,1.318681319,0.122,1.124333333,5
23,5,0.086,0.1285,0.111,486.095564,0.1365,3,0.351,1.587209302,1.062256809,1.22972973,1.157657658,0.1325,1.173256809,9
24,5,0.0685,0.1025,0.0455,55.40012302,0.089,3,0.26,1.299270073,0.868292683,1.956043956,2.252747253,0.09575,0.913792683,1
25,5,0.065,0.104,0.047,13.41042849,0.086,3,0.255,1.323076923,0.826923077,1.829787234,2.212765957,0.095,0.873923077,5
26,5,0.094,0.128,0.114,55.64009867,0.134,3,0.356,1.425531915,1.046875,1.175438596,1.122807018,0.131,1.160875,6
27,5,0.062,0.096,0.081,169.8835914,0.1,3,0.258,1.612903226,1.041666667,1.234567901,1.185185185,0.098,1.122666667,6
28,5,0.1195,0.1565,0.1445,249.3779694,0.176,3,0.452,1.472803347,1.124600639,1.21799308,1.083044983,0.16625,1.269100639,10
29,5,0.123,0.155,0.133,87.9391123,0.164,3,0.442,1.333333333,1.058064516,1.233082707,1.165413534,0.1595,1.191064516,10
30,5,0.0785,0.121,0.086,81.11125136,0.1295,3,0.329,1.649681529,1.070247934,1.505813953,1.406976744,0.12525,1.156247934,10
31,5,0.0665,0.1025,0.0645,13.55730538,0.11,3,0.279,1.654135338,1.073170732,1.705426357,1.589147287,0.10625,1.137670732,10
32,5,0.082,0.119,0.106,303.1953591,0.13,3,0.331,1.585365854,1.092436975,1.226415094,1.122641509,0.1245,1.198436975,9
33,5,0.077,0.118,0.099,454.677465,0.124,3,0.319,1.61038961,1.050847458,1.252525253,1.191919192,0.121,1.149847458,10
34,5,0.071,0.119,0.106,10.44246111,0.1325,3,0.3225,1.866197183,1.113445378,1.25,1.122641509,0.12575,1.219445378,11
35,5,0.067,0.094,0.04,2.400532326,0.073,3,0.234,1.089552239,0.776595745,1.825,2.35,0.0835,0.816595745,1
36,5,0.0815,0.1005,0.08,28.26961508,0.087,3,0.269,1.067484663,0.865671642,1.0875,1.25625,0.09375,0.945671642,3
37,5,0.127,0.18,0.132,71.12679601,0.184,3,0.491,1.448818898,1.022222222,1.393939394,1.363636364,0.182,1.154222222,6
38,5,0.078,0.125,0.116,98.61533899,0.142,3,0.345,1.820512821,1.136,1.224137931,1.077586207,0.1335,1.252,10
39,7,0.067,0.109,0.088,134.1448514,0.131,3,0.307,1.955223881,1.201834862,1.488636364,1.238636364,0.12,1.289834862,10
40,5,0.08,0.119,0.074,46.60057016,0.125,3,0.324,1.5625,1.050420168,1.689189189,1.608108108,0.122,1.124420168,11
41,7,0.128,0.159,0.138,3.779745042,0.164,3,0.451,1.28125,1.031446541,1.188405797,1.152173913,0.1615,1.169446541,5
42,5,0.1115,0.1555,0.1315,26.77929658,0.1545,3,0.4215,1.385650224,0.993569132,1.174904943,1.182509506,0.155,1.125069132,5
43,7,0.098,0.136,0.095,29.59920293,0.139,3,0.373,1.418367347,1.022058824,1.463157895,1.431578947,0.1375,1.117058824,6
44,5,0.103,0.153,0.137,62.08894681,0.16,3,0.416,1.553398058,1.045751634,1.167883212,1.116788321,0.1565,1.182751634,7
45,7,0.091,0.121,0.118,234.2065212,0.133,3,0.345,1.461538462,1.099173554,1.127118644,1.025423729,0.127,1.217173554,8
46,3,0.092,0.139,0.137,197.813209,0.15,3,0.381,1.630434783,1.079136691,1.094890511,1.01459854,0.1445,1.216136691,9
47,3,0.085,0.132,0.109,28.83420435,0.139,3,0.356,1.635294118,1.053030303,1.275229358,1.211009174,0.1355,1.162030303,10
48,5,0.108,0.1425,0.107,29.00269542,0.148,3,0.3985,1.37037037,1.038596491,1.38317757,1.331775701,0.14525,1.145596491,10
49,7,0.086,0.118,0.075,29.00269542,0.126,3,0.33,1.465116279,1.06779661,1.68,1.573333333,0.122,1.14279661,10
50,3,0.075,0.123,0.055,29.80160197,0.122,3,0.32,1.626666667,0.991869919,2.218181818,2.236363636,0.1225,1.046869919,11
51,5,0.071,0.11,0.055,29.80160197,0.11,3,0.291,1.549295775,1,2,2,0.11,1.055,11
52,3,0.076,0.121,0.087,31.39191407,0.118,3,0.315,1.552631579,0.975206612,1.356321839,1.390804598,0.1195,1.062206612,11
53,7,0.066,0.103,0.0455,31.39191407,0.104,3,0.273,1.575757576,1.009708738,2.285714286,2.263736264,0.1035,1.055208738,11
54,3,0.075,0.12,0.057,8.570327553,0.112,3,0.307,1.493333333,0.933333333,1.964912281,2.105263158,0.116,0.990333333,11
55,3,0.091,0.148,0.109,30.70265638,0.151,3,0.39,1.659340659,1.02027027,1.385321101,1.357798165,0.1495,1.12927027,12
56,3,0.075,0.121,0.082,28.54206881,0.112,3,0.308,1.493333333,0.925619835,1.365853659,1.475609756,0.1165,1.007619835,12
57,5,0.0695,0.103,0.046,28.54206881,0.091,3,0.2635,1.309352518,0.883495146,1.97826087,2.239130435,0.097,0.929495146,12
58,3,0.121,0.137,0.068,14.32073714,0.112,3,0.37,0.925619835,0.817518248,1.647058824,2.014705882,0.1245,0.885518248,1
59,5,0.132,0.168,0.128,5.159788138,0.163,3,0.463,1.234848485,0.970238095,1.2734375,1.3125,0.1655,1.098238095,5
60,7,0.103,0.129,0.137,67.56508008,0.14,3,0.372,1.359223301,1.085271318,1.02189781,0.941605839,0.1345,1.222271318,8
61,7,0.072,0.107,0.097,264.7490927,0.126,3,0.305,1.75,1.177570093,1.298969072,1.103092784,0.1165,1.274570093,9
62,3,0.069,0.115,0.083,264.7490927,0.125,3,0.309,1.811594203,1.086956522,1.506024096,1.385542169,0.12,1.169956522,9
63,3,0.061,0.116,0.084,116.7301752,0.128,3,0.305,2.098360656,1.103448276,1.523809524,1.380952381,0.122,1.187448276,10
64,7,0.0845,0.12,0.103,116.7301752,0.136,3,0.3405,1.609467456,1.133333333,1.32038835,1.165048544,0.128,1.236333333,10
65,3,0.071,0.109,0.046,75.5602395,0.111,3,0.291,1.563380282,1.018348624,2.413043478,2.369565217,0.11,1.064348624,11
66,3,0.064,0.1,0.058,180.4497788,0.1,3,0.264,1.5625,1,1.724137931,1.724137931,0.1,1.058,11
67,7,0.097,0.12,0.091,180.4497788,0.122,3,0.339,1.257731959,1.016666667,1.340659341,1.318681319,0.121,1.107666667,11
68,3,0.071,0.114,0.032,11.3099333,0.107,3,0.292,1.507042254,0.938596491,3.34375,3.5625,0.1105,0.970596491,12
69,7,0.079,0.104,0.047,11.3099333,0.104,3,0.287,1.316455696,1,2.212765957,2.212765957,0.104,1.047,12
70,3,0.095,0.133,0.048,13.49043989,0.12,3,0.348,1.263157895,0.902255639,2.5,2.770833333,0.1265,0.950255639,12
71,3,0.066,0.103,0.047,24.78807049,0.084,3,0.253,1.272727273,0.815533981,1.787234043,2.191489362,0.0935,0.862533981,1
72,7,0.071,0.092,0.036,88.4208465,0.068,3,0.231,0.957746479,0.739130435,1.888888889,2.555555556,0.08,0.775130435,2
73,3,0.084,0.105,0.037,88.4208465,0.076,3,0.265,0.904761905,0.723809524,2.054054054,2.837837838,0.0905,0.760809524,2
74,7,0.068,0.086,0.041,34.74455692,0.069,3,0.223,1.014705882,0.802325581,1.682926829,2.097560976,0.0775,0.843325581,2
75,7,0.057,0.079,0.034,9.160630592,0.057,3,0.193,1,0.721518987,1.676470588,2.323529412,0.068,0.755518987,3
76,3,0.073,0.095,0.043,25.94030348,0.066,3,0.234,0.904109589,0.694736842,1.534883721,2.209302326,0.0805,0.737736842,3
77,7,0.09,0.126,0.092,10.56932129,0.119,3,0.335,1.322222222,0.944444444,1.293478261,1.369565217,0.1225,1.036444444,4
78,3,0.074,0.119,0.079,16.7904351,0.112,3,0.305,1.513513514,0.941176471,1.417721519,1.506329114,0.1155,1.020176471,5
79,3,0.067,0.112,0.096,422.7660433,0.124,3,0.303,1.850746269,1.107142857,1.291666667,1.166666667,0.118,1.203142857,10
80,3,0.076,0.132,0.154,335.3005312,0.144,3,0.352,1.894736842,1.090909091,0.935064935,0.857142857,0.138,1.244909091,10
81,3,0.084,0.122,0.099,283.3281826,0.13,3,0.336,1.547619048,1.06557377,1.313131313,1.232323232,0.126,1.16457377,10
82,3,0.074,0.123,0.084,271.6301573,0.137,3,0.334,1.851351351,1.113821138,1.630952381,1.464285714,0.13,1.197821138,10
83,3,0.082,0.134,0.072,126.5583525,0.142,3,0.358,1.731707317,1.059701493,1.972222222,1.861111111,0.138,1.131701493,11
84,3,0.073,0.113,0.05,38.52828312,0.114,3,0.3,1.561643836,1.008849558,2.28,2.26,0.1135,1.058849558,11
85,3,0.07,0.112,0.062,21.16985028,0.108,3,0.29,1.542857143,0.964285714,1.741935484,1.806451613,0.11,1.026285714,12
86,3,0.096,0.118,0.046,11.73006584,0.101,3,0.315,1.052083333,0.855932203,2.195652174,2.565217391,0.1095,0.901932203,1
87,3,0.048,0.088,0.036,23.42077331,0.07,3,0.206,1.458333333,0.795454545,1.944444444,2.444444444,0.079,0.831454545,2
88,5,0.091,0.114,0.073,23.42077331,0.096,3,0.301,1.054945055,0.842105263,1.315068493,1.561643836,0.105,0.915105263,2
89,3,0.081,0.1,0.045,18.29114971,0.078,3,0.259,0.962962963,0.78,1.733333333,2.222222222,0.089,0.825,2
90,5,0.052,0.072,0.027,6.739249023,0.053,3,0.177,1.019230769,0.736111111,1.962962963,2.666666667,0.0625,0.763111111,3
91,3,0.08,0.103,0.036,6.739249023,0.078,3,0.261,0.975,0.757281553,2.166666667,2.861111111,0.0905,0.793281553,3
92,3,0.077,0.121,0.083,122.3179475,0.124,3,0.322,1.61038961,1.024793388,1.493975904,1.457831325,0.1225,1.107793388,4
93,5,0.1045,0.145,0.137,157.2553025,0.1575,3,0.407,1.507177033,1.086206897,1.149635036,1.058394161,0.15125,1.223206897,5
94,5,0.105,0.134,0.127,178.3312029,0.143,3,0.382,1.361904762,1.067164179,1.125984252,1.05511811,0.1385,1.194164179,10
95,3,0.068,0.115,0.098,178.3312029,0.128,3,0.311,1.882352941,1.113043478,1.306122449,1.173469388,0.1215,1.211043478,10
96,5,0.067,0.115,0.086,231.3229545,0.1255,3,0.3075,1.873134328,1.091304348,1.459302326,1.337209302,0.12025,1.177304348,10
97,3,0.066,0.116,0.094,231.3229545,0.122,3,0.304,1.848484848,1.051724138,1.29787234,1.234042553,0.119,1.145724138,10
98,3,0.07,0.112,0.08,167.9541034,0.115,3,0.297,1.642857143,1.026785714,1.4375,1.4,0.1135,1.106785714,10
99,3,0.073,0.115,0.058,135.2283625,0.118,3,0.306,1.616438356,1.026086957,2.034482759,1.982758621,0.1165,1.084086957,11
100,5,0.0775,0.116,0.0795,135.2283625,0.119,3,0.3125,1.535483871,1.025862069,1.496855346,1.459119497,0.1175,1.105362069,11
101,3,0.08,0.119,0.077,120.0481868,0.119,3,0.318,1.4875,1,1.545454545,1.545454545,0.119,1.077,11
102,5,0.1,0.127,0.1005,120.0481868,0.129,3,0.356,1.29,1.015748031,1.28358209,1.263681592,0.128,1.116248031,11
103,3,0.076,0.111,0.049,107.5471187,0.104,3,0.291,1.368421053,0.936936937,2.12244898,2.265306122,0.1075,0.985936937,12
104,5,0.104,0.127,0.076,6.620000984,0.112,3,0.343,1.076923077,0.881889764,1.473684211,1.671052632,0.1195,0.957889764,12
105,3,0.063,0.101,0.062,6.620000984,0.095,3,0.259,1.507936508,0.940594059,1.532258065,1.629032258,0.098,1.002594059,12
106,3,0.074,0.119,0.06,13.03037817,0.11,3,0.303,1.486486486,0.924369748,1.833333333,1.983333333,0.1145,0.984369748,12
107,5,0.102,0.123,0.073,13.03037817,0.109,3,0.334,1.068627451,0.886178862,1.493150685,1.684931507,0.116,0.959178862,12
108,3,0.083,0.124,0.086,9.000171003,0.117,3,0.324,1.409638554,0.943548387,1.360465116,1.441860465,0.1205,1.029548387,1
109,3,0.072,0.097,0.037,13.00057881,0.074,3,0.243,1.027777778,0.762886598,2,2.621621622,0.0855,0.799886598,1
110,5,0.0655,0.095,0.046,10.00064904,0.073,3,0.2335,1.114503817,0.768421053,1.586956522,2.065217391,0.084,0.814421053,2
111,3,0.046,0.075,0.026,10.00064904,0.054,3,0.175,1.173913043,0.72,2.076923077,2.884615385,0.0645,0.746,2
112,3,0.058,0.087,0.03,5.999796192,0.07,3,0.215,1.206896552,0.804597701,2.333333333,2.9,0.0785,0.834597701,2
113,3,0.079,0.117,0.087,8.000228293,0.112,3,0.308,1.417721519,0.957264957,1.287356322,1.344827586,0.1145,1.044264957,3
114,5,0.108,0.143,0.099,18.99961003,0.143,3,0.394,1.324074074,1,1.444444444,1.444444444,0.143,1.099,4
115,5,0.1,0.146,0.135,43.00005009,0.155,3,0.401,1.55,1.061643836,1.148148148,1.081481481,0.1505,1.196643836,6
116,5,0.091,0.128,0.113,37.00004912,0.132,3,0.351,1.450549451,1.03125,1.168141593,1.132743363,0.13,1.14425,6
117,3,0.08,0.118,0.047,17.99960886,0.109,3,0.307,1.3625,0.923728814,2.319148936,2.510638298,0.1135,0.970728814,12
118,5,0.0805,0.1095,0.0545,9.999351821,0.092,3,0.282,1.142857143,0.840182648,1.688073394,2.009174312,0.10075,0.894682648,1
119,3,0.056,0.088,0.047,3.000297009,0.071,3,0.215,1.267857143,0.806818182,1.510638298,1.872340426,0.0795,0.853818182,2
120,5,0.093,0.114,0.0825,3.000297009,0.1025,3,0.3095,1.102150538,0.899122807,1.242424242,1.381818182,0.10825,0.981622807,2
121,3,0.054,0.089,0.062,1.999414026,0.08,3,0.223,1.481481481,0.898876404,1.290322581,1.435483871,0.0845,0.960876404,2
122,3,0.067,0.094,0.037,6.999042778,0.076,3,0.237,1.134328358,0.808510638,2.054054054,2.540540541,0.085,0.845510638,3
123,5,0.115,0.163,0.144,37.99978294,0.171,3,0.449,1.486956522,1.049079755,1.1875,1.131944444,0.167,1.193079755,5
124,5,0.086,0.128,0.08,54.00008569,0.119,3,0.333,1.38372093,0.9296875,1.4875,1.6,0.1235,1.0096875,5
125,3,0.075,0.123,0.077,54.00008569,0.117,3,0.315,1.56,0.951219512,1.519480519,1.597402597,0.12,1.028219512,5
126,5,0.123,0.159,0.145,149.1477886,0.156,3,0.438,1.268292683,0.981132075,1.075862069,1.096551724,0.1575,1.126132075,6
127,3,0.078,0.122,0.091,751.7438963,0.123,3,0.323,1.576923077,1.008196721,1.351648352,1.340659341,0.1225,1.099196721,8
128,3,0.076,0.117,0.064,596.0847361,0.118,3,0.311,1.552631579,1.008547009,1.84375,1.828125,0.1175,1.072547009,8
129,5,0.103,0.145,0.114,218.4032175,0.15,3,0.398,1.45631068,1.034482759,1.315789474,1.271929825,0.1475,1.148482759,9
130,5,0.081,0.121,0.099,310.3458559,0.128,3,0.33,1.580246914,1.05785124,1.292929293,1.222222222,0.1245,1.15685124,9
131,3,0.071,0.103,0.056,578.522308,0.101,3,0.275,1.422535211,0.980582524,1.803571429,1.839285714,0.102,1.036582524,10
132,3,0.066,0.097,0.058,636.9870241,0.095,3,0.258,1.439393939,0.979381443,1.637931034,1.672413793,0.096,1.037381443,10
133,5,0.066,0.099,0.05,583.6333341,0.092,3,0.257,1.393939394,0.929292929,1.84,1.98,0.0955,0.979292929,11
134,3,0.065,0.105,0.04,583.6333341,0.097,3,0.267,1.492307692,0.923809524,2.425,2.625,0.101,0.963809524,11
135,3,0.075,0.114,0.039,425.0931266,0.105,3,0.294,1.4,0.921052632,2.692307692,2.923076923,0.1095,0.960052632,11
136,3,0.078,0.119,0.056,141.9456741,0.112,3,0.309,1.435897436,0.941176471,2,2.125,0.1155,0.997176471,11
137,5,0.12,0.143,0.096,15.04777271,0.133,3,0.396,1.108333333,0.93006993,1.385416667,1.489583333,0.138,1.02606993,12
138,3,0.068,0.104,0.048,15.04777271,0.096,3,0.268,1.411764706,0.923076923,2,2.166666667,0.1,0.971076923,12
139,3,0.074,0.11,0.062,20.00062878,0.1,3,0.284,1.351351351,0.909090909,1.612903226,1.774193548,0.105,0.971090909,12
140,3,0.062,0.094,0.061,33.00059384,0.081,3,0.237,1.306451613,0.861702128,1.327868852,1.540983607,0.0875,0.922702128,1
141,5,0.149,0.1715,0.141,33.00059384,0.1615,3,0.482,1.083892617,0.941690962,1.145390071,1.216312057,0.1665,1.082690962,1
142,3,0.057,0.089,0.049,2.000792393,0.076,3,0.222,1.333333333,0.853932584,1.551020408,1.816326531,0.0825,0.902932584,1
143,3,0.059,0.09,0.047,3.000798815,0.071,3,0.22,1.203389831,0.788888889,1.510638298,1.914893617,0.0805,0.835888889,2
144,5,0.074,0.097,0.051,3.000798815,0.076,3,0.247,1.027027027,0.783505155,1.490196078,1.901960784,0.0865,0.834505155,2
145,3,0.059,0.089,0.053,40.39011009,0.074,3,0.222,1.254237288,0.831460674,1.396226415,1.679245283,0.0815,0.884460674,3
146,5,0.092,0.13,0.112,210.8646108,0.129,3,0.351,1.402173913,0.992307692,1.151785714,1.160714286,0.1295,1.104307692,5
147,5,0.119,0.164,0.144,424.9987786,0.17,3,0.453,1.428571429,1.036585366,1.180555556,1.138888889,0.167,1.180585366,6
148,3,0.069,0.108,0.08,217.3851557,0.111,3,0.288,1.608695652,1.027777778,1.3875,1.35,0.1095,1.107777778,6
149,5,0.088,0.119,0.081,162.1623623,0.105,3,0.312,1.193181818,0.882352941,1.296296296,1.469135802,0.112,0.963352941,3
150,3,0.059,0.095,0.052,162.1623623,0.074,3,0.228,1.254237288,0.778947368,1.423076923,1.826923077,0.0845,0.830947368,3
151,5,0.102,0.134,0.093,190.3675704,0.115,3,0.351,1.12745098,0.858208955,1.23655914,1.440860215,0.1245,0.951208955,3
152,5,0.084,0.126,0.083,71.43440829,0.123,3,0.333,1.464285714,0.976190476,1.481927711,1.518072289,0.1245,1.059190476,5
153,5,0.107,0.14,0.11,72.77341102,0.135,3,0.382,1.261682243,0.964285714,1.227272727,1.272727273,0.1375,1.074285714,5
154,3,0.096,0.14,0.126,670.696648,0.155,3,0.391,1.614583333,1.107142857,1.23015873,1.111111111,0.1475,1.233142857,8
155,5,0.089,0.114,0.067,760.0009369,0.0945,3,0.2975,1.061797753,0.828947368,1.410447761,1.701492537,0.10425,0.895947368,2
